age_group,gender,protein_g,fat_g,carb_g,fiber_g,energy_kcal,calcium_mg,iron_mg,zinc_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,copper_mg,manganese_mg,selenium_ug,chromium_mg,molybdenum_mg,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b7_ug,vitamin_b9_ug,vitamin_b12_ug
1-3_years,both,13,30,130,14,1000,500,7,3,80,460,3000,1000,0.34,1.2,20,0.011,0.017,300,15,5,6,30,0.5,0.5,6,2,0.5,8,150,0.9
4-8_years,both,19,25,130,20,1200,800,10,5,130,500,3800,1200,0.44,1.5,30,0.015,0.022,400,25,5,7,55,0.6,0.6,8,3,0.6,12,200,1.2
9-13_years,male,34,25,130,25,1800,1300,8,8,240,1250,4500,1500,0.7,1.9,40,0.025,0.034,600,45,5,11,60,0.9,0.9,12,4,1.0,20,300,1.8
9-13_years,female,34,25,130,25,1600,1300,8,8,240,1250,4500,1500,0.7,1.9,40,0.025,0.034,600,45,5,11,60,0.9,0.9,12,4,1.0,20,300,1.8
14-18_years,male,52,25,130,31,2200,1300,11,11,410,1250,4700,1500,0.89,2.2,55,0.035,0.043,900,75,5,15,75,1.2,1.3,16,5,1.3,25,400,2.4
14-18_years,female,46,25,130,26,1800,1300,15,9,360,1250,4700,1500,0.89,1.6,55,0.024,0.043,700,65,5,15,75,1.0,1.0,14,5,1.2,25,400,2.4
19-30_years,male,56,25,130,38,2400,1000,8,11,400,700,4700,1500,0.9,2.3,55,0.035,0.045,900,90,5,15,120,1.2,1.3,16,5,1.3,30,400,2.4
19-30_years,female,46,25,130,25,1800,1000,18,8,310,700,4700,1500,0.9,1.8,55,0.025,0.045,700,75,5,15,90,1.1,1.1,14,5,1.3,30,400,2.4
31-50_years,male,56,25,130,38,2400,1000,8,11,420,700,4700,1500,0.9,2.3,55,0.035,0.045,900,90,5,15,120,1.2,1.3,16,5,1.3,30,400,2.4
31-50_years,female,46,25,130,25,1800,1000,18,8,320,700,4700,1500,0.9,1.8,55,0.025,0.045,700,75,5,15,90,1.1,1.1,14,5,1.3,30,400,2.4
51-70_years,male,56,25,130,30,2200,1000,8,11,420,700,4700,1500,0.9,2.3,55,0.035,0.045,900,90,5,15,120,1.2,1.3,16,5,1.7,30,400,2.4
51-70_years,female,46,25,130,21,1600,1200,8,8,320,700,4700,1500,0.9,1.8,55,0.025,0.045,700,75,5,15,90,1.1,1.1,14,5,1.5,30,400,2.4
70+_years,male,56,25,130,30,2000,1200,8,11,420,700,4700,1500,0.9,2.3,55,0.035,0.045,900,90,5,15,120,1.2,1.3,16,5,1.7,30,400,2.4
70+_years,female,46,25,130,21,1600,1200,8,8,320,700,4700,1500,0.9,1.8,55,0.025,0.045,700,75,5,15,90,1.1,1.1,14,5,1.5,30,400,2.4
